,birthDate,birthPlace,assistences,field_goal_percentage,field_goal_percentage_3_pts,free_throw_percentage,games,player_efficiency_rating,points,total_rebounds,win_shares,effective_field_goal_percentage,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,salary
13,"July 20, 1993","Rotorua, New Zealand",1.0,58.8,0.0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12.0,1.0,Oklahoma City Thunder,2013,7-0,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265lb,6433461.5
14,"July 22, 1964","Jersey City, New Jersey",0.9,44.9,28.2,77.2,379,10.5,5.8,2.1,4.9,46.6,Syracuse University,39.0,2.0,Phoenix Suns,1986,6-7,"Snyder in Jersey City, New Jersey",Rafael Addison,Small Forward,Right,215lb,346600.0
15,"July 18, 1997","Newark, New Jersey",1.9,55.0,13.6,72.8,151,17.0,8.0,6.5,11.0,55.1,University of Kentucky,14.0,1.0,Miami Heat,2017,6-10,"High Point Christian Academy in High Point, North Carolina",Bam Adebayo,Center,Right,255lb,2490360.0
17,"October 15, 1985","Los Angeles, California",1.8,45.0,38.6,82.5,762,11.9,10.8,2.9,33.5,51.4,"University of California, Los Angeles",27.0,1.0,Detroit Pistons,2007,6-5,"Centennial in Compton, California",Arron Afflalo,Shooting Guard and Small Forward,Right,210lb,4904346.5
18,"February 9, 1984","Detroit, Michigan",0.2,33.9,25.0,56.6,82,2.8,2.1,0.6,-0.9,36.8,Michigan State University,28.0,1.0,Dallas Mavericks,2006,6-5,"Crocket in Detroit, Michigan",Maurice Ager,Shooting Guard,Right,202lb,751656.25
19,"December 10, 1959","Chicago, Illinois",3.1,48.4,31.2,74.1,923,19.0,20.0,5.0,67.8,49.8,DePaul University,1.0,1.0,Dallas Mavericks,1981,6-6,"George Westinghouse in Chicago, Illinois",Mark Aguirre,Small Forward,Right,232lb,908515.56
21,"March 17, 1959","Eugene, Oregon",4.0,46.9,37.8,84.6,1042,14.7,11.5,2.7,71.5,51.9,Brigham Young University,31.0,2.0,Boston Celtics,1981,6-4,"Eugene in North Eugene, Oregon",Danny Ainge,Shooting Guard and Point Guard,Right,175lb,977777.75
24,"March 21, 1988","Kaduna, Nigeria",0.2,31.4,-,70.0,26,10.3,1.5,2.3,0.0,31.4,Florida State University,50.0,2.0,Dallas Mavericks,2010,7-1,"Montverde Academy in Montverde, Florida",Solomon Alabi,Center,Right,251lb,800000.0
25,"December 11, 1963","Phoenix, Arizona",1.1,47.5,25.2,77.5,325,13.0,7.5,3.4,8.4,48.3,Duke University,18.0,1.0,Denver Nuggets,1986,6-8,"Brophy College Preparatory in Phoenix, Arizona",Mark Alarie,Power Forward,Right,217lb,383125.0
27,"October 31, 1988","Burnsville, Minnesota",0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,11.0,1.0,New Orleans Hornets,2010,6-11,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250lb,3411951.8
28,"July 19, 1985","Dallas, Texas",2.0,49.1,28.3,81.0,950,20.9,19.6,8.4,107.0,49.5,University of Texas at Austin,2.0,1.0,Chicago Bulls,2006,6-11,"Seagoville in Seagoville, Texas",LaMarcus Aldridge,Power Forward and Center,Right,260lb,12301577.0
30,"June 22, 1973","Waynesboro, Virginia",2.7,38.9,35.4,75.6,307,12.4,5.5,1.6,3.0,46.8,University of Virginia,29.0,1.0,San Antonio Spurs,1995,6-1,"Oak Hill Academy in Mouth of Wilson, Virginia",Cory Alexander,Shooting Guard and Point Guard,Right,185lb,1520144.8
31,"April 27, 1977","Bridgeport, Connecticut",1.2,42.2,33.9,81.3,187,11.5,9.0,2.2,4.1,43.5,"University of Virginia, California State University, Fresno",13.0,1.0,Orlando Magic,2000,6-5,"Jordan in Durham, North Carolina",Courtney Alexander,Point Guard and Shooting Guard,Right,205lb,1300460.4
33,"December 26, 1986","Kaohsiung, Taiwan",0.7,41.0,34.0,69.8,67,9.9,4.2,1.8,0.5,44.2,West Virginia University,8.0,1.0,Milwaukee Bucks,2008,6-8,"Hargrave Military Academy in Chatham, Virginia",Joe Alexander,Small Forward,Right,230lb,1692315.0
34,"August 31, 1969","Detroit, Michigan",0.9,51.8,28.6,63.4,286,13.7,8.9,4.8,8.8,52.2,Iowa State University,17.0,1.0,Golden State Warriors,1991,6-9,"Denby in Detroit, Michigan",Victor Alexander,Center,Right,265lb,1079641.6
35,"November 23, 1964","Franklin, Indiana",1.0,45.9,32.4,87.0,169,14.4,4.4,0.9,3.2,48.7,Indiana University,26.0,2.0,Dallas Mavericks,1987,6-2,"Chrysler in New Castle, Indiana",Steve Alford,Point Guard,Right,183lb,166666.67
36,"April 21, 1998","Austin, Texas",1.0,59.0,18.3,73.2,152,18.1,9.6,7.0,11.9,59.5,University of Texas at Austin,22.0,1.0,Brooklyn Nets,2017,6-11,"St. Stephen's Episcopal School in Austin, Texas",Jarrett Allen,Center,Right,237lb,1713720.0
37,"January 28, 1973","Philadelphia, Pennsylvania",1.7,35.0,31.7,63.0,117,8.5,2.9,1.1,0.2,41.1,University of Pennsylvania,49.0,2.0,Minnesota Timberwolves,1995,6-4,"Episcopal Academy in Merion Station, Pennsylvania",Jerome Allen,Shooting Guard,Right,184lb,248125.0
38,"February 4, 1989","Morrisville, Pennsylvania",1.0,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50.0,2.0,Philadelphia 76ers,2011,6-9,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb,2530294.5
40,"July 20, 1975","Merced, California",3.4,45.2,40.0,89.4,1300,18.6,18.9,4.1,145.1,53.0,University of Connecticut,5.0,1.0,Minnesota Timberwolves,1996,6-5,"Hillcrest in Dalzell, South Carolina",Ray Allen,Shooting Guard,Right,205lb,10242023.0
41,"January 11, 1982","Chicago, Illinois",1.3,47.5,28.2,70.9,820,14.2,8.1,3.5,38.7,48.7,"Butler County Community College, Oklahoma State University",25.0,1.0,Boston Celtics,2004,6-4,"Crane Technical Preparatory in Chicago, Illinois",Tony Allen,Shooting Guard and Small Forward and Point Guard,Right,213lb,2907030.0
42,"February 2, 1985","Dalton, Georgia",0.3,38.1,29.2,74.3,38,7.0,3.1,1.2,0.0,41.2,Rice University,25.0,1.0,Utah Jazz,2007,6-6,"McEachern in Powder Springs, Georgia",Morris Almond,Shooting Guard,Right,225lb,1043700.0
43,"August 20, 1972","Bronx, New York",0.7,48.9,14.3,48.7,139,11.7,5.4,3.8,2.6,49.0,Duquesne University,33.0,2.0,Philadelphia 76ers,1994,6-11,"Hoboken in Hoboken, New Jersey",Derrick Alston,Center,Right,225lb,250000.0
44,"July 24, 1976","New York, New York",4.8,38.3,35.4,72.9,671,13.2,10.1,2.8,32.9,46.1,"California State University, Fresno",39.0,2.0,Milwaukee Bucks,1998,6-2,"Benjamin Cardozo in Bayside, New York",Rafer Alston,Point Guard,Right,171lb,2344127.5
47,"September 21, 1990","Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8.0,1.0,Los Angeles Clippers,2010,6-9,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb,4430970.5
52,"July 18, 1974","Louisville, Kentucky",3.4,40.8,34.1,85.3,615,15.3,12.0,3.2,43.9,46.3,"Ohio State University, University of Kentucky",13.0,1.0,Cleveland Cavaliers,1997,6-5,"Doss in Louisville, Kentucky",Derek Anderson,Shooting Guard and Small Forward and Point Guard,Right,194lb,4212366.0
54,"June 22, 1964","Houston, Texas",0.6,49.2,8.7,55.7,680,13.0,7.3,6.2,18.7,49.2,University of Houston,23.0,1.0,San Antonio Spurs,1987,6-10,"Evan E. Worthing in Houston, Texas",Greg Anderson,Center and Power Forward,Right,230lb,571625.0
55,"March 25, 1989","El Dorado, Arkansas",1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20.0,1.0,San Antonio Spurs,2010,6-6,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb,895769.3
56,"November 19, 1993","Montross, Virginia",0.7,41.9,30.2,77.8,216,12.9,5.3,2.6,4.7,49.0,University of Virginia,21.0,1.0,Dallas Mavericks,2015,6-6,"Montrose Christian in Rockville, Maryland",Justin Anderson,Small Forward,Left,230lb,1514200.0
57,"October 9, 1970","Queens, New York",6.1,42.1,34.6,79.0,858,16.4,12.6,3.1,62.5,44.9,Georgia Institute of Technology,2.0,1.0,New Jersey Nets,1991,6-0,"Archbishop Molloy in Jamaica, New York",Kenny Anderson,Point Guard,Left,168lb,4530371.5
58,"September 20, 1993","Fairview, New Jersey",1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",30.0,1.0,San Antonio Spurs,2014,6-9,"St. Anthony's in Jersey City, New Jersey",Kyle Anderson,Small Forward,Right,230lb,1395085.8
59,"January 20, 1968","Chicago, Illinois",2.6,44.6,35.6,66.7,800,15.8,14.4,5.1,55.3,50.0,University of Illinois at Urbana-Champaign,11.0,1.0,Orlando Magic,1989,6-6,"Simeon Vocational School in Chicago, Illinois",Nick Anderson,Shooting Guard and Small Forward,Right,205lb,3271593.8
60,"November 19, 1960","San Pedro, California",1.5,41.2,33.3,76.2,407,12.3,5.6,3.5,7.6,44.6,"University of California, Santa Barbara",32.0,2.0,San Diego Clippers,1982,6-10,"Rancho Alamitos in Garden Grove, California",Richard Anderson,Center and Power Forward,Right,240lb,262500.0
61,"October 15, 1958","Chicago, Illinois",1.4,47.1,28.7,81.4,664,14.3,10.6,3.5,24.2,47.9,"California State University, Fresno",27.0,2.0,Cleveland Cavaliers,1984,6-7,"Bowen in Chicago, Illinois",Ron Anderson,Small Forward,Right,215lb,470000.0
62,"May 6, 1988","Sacramento, California",0.9,42.2,38.0,85.4,647,16.5,12.4,5.3,46.7,52.3,University of California,21.0,1.0,New Jersey Nets,2008,6-10,"Oak Ridge in El Dorado Hills, California",Ryan Anderson,Power Forward,Right,240lb,7850978.0
63,"December 31, 1973","Atlanta, Georgia",1.4,45.7,31.6,73.9,719,11.7,7.4,3.1,23.6,49.2,University of Georgia,54.0,2.0,Utah Jazz,1996,6-6,"Crim in Atlanta, Georgia",Shandon Anderson,Small Forward and Shooting Guard,Right,208lb,3813340.5
64,"January 8, 1967","Greenville, South Carolina",3.8,47.1,26.6,78.6,555,13.8,12.2,3.8,27.9,47.9,University of Georgia,10.0,1.0,San Antonio Spurs,1988,6-7,"East Atlanta in Atlanta, Georgia",Willie Anderson,Shooting Guard and Small Forward,Right,190lb,1351250.0
66,"October 17, 1998","San Diego, California",0.1,33.3,-,83.3,14,17.0,0.9,0.9,0.0,33.3,"University of California, Los Angeles",47.0,2.0,Indiana Pacers,2017,6-10,"Centennial in Corono, California",Ike Anigbogu,Center,Right,250lb,950000.0
67,"February 8, 1967","Birmingham, Alabama",0.4,51.3,-,72.2,149,17.0,6.9,4.2,6.4,51.3,University of Alabama,37.0,2.0,Orlando Magic,1989,6-7,"Jackson-Olin in Birmingham, Alabama",Michael Ansley,Small Forward,Right,225lb,200000.0
71,"May 29, 1984","Brooklyn, New York",3.0,44.9,34.7,81.1,1064,20.3,24.0,6.5,101.0,48.2,Syracuse University,3.0,1.0,Denver Nuggets,2003,6-8,"Oak Hill Academy in Mouth of Wilson, Virginia",Carmelo Anthony,Small Forward and Power Forward,Right,240lb,15466761.0
72,"November 15, 1967","Las Vegas, Nevada",4.0,40.3,34.9,73.3,757,14.5,7.3,1.9,35.9,46.7,"University of Portland, University of Nevada, Las Vegas",12.0,1.0,New York Knicks,1991,6-0,"Rancho in North Las Vegas, Nevada",Greg Anthony,Point Guard,Left,176lb,1549354.1
75,"July 17, 1997","London, United Kingdom",0.7,46.1,35.1,60.5,141,9.9,6.4,2.7,5.0,55.5,Indiana University,23.0,1.0,Toronto Raptors,2017,6-8,"Jefferson City in Jefferson City, Missouri",OG Anunoby,Small Forward,Right,232lb,1645200.0
77,"August 12, 1980","Curitiba, Brazil",0.3,40.5,25.0,67.9,139,6.3,2.8,2.8,-0.4,40.6,Brigham Young University,8.0,1.0,Toronto Raptors,2004,6-11,"Padre Anacleto in Sao Paulo, Brazil",Rafael Araujo,Center,Right,280lb,2238960.0
78,"March 29, 1980","Paisley, United Kingdom",0.4,28.3,-,42.9,44,4.9,1.2,1.6,0.0,28.3,University of Illinois at Urbana-Champaign,32.0,2.0,Memphis Grizzlies,2002,6-11,"Lafayette in Ballwin, Missouri",Robert Archibald,Center and Power Forward,Right,250lb,456568.5
79,"January 6, 1982","Tampa, Florida",5.3,42.1,35.1,80.3,552,19.6,20.7,3.9,51.3,48.2,University of Arizona,31.0,2.0,Golden State Warriors,2001,6-3,"Grant in Van Nuys, California",Gilbert Arenas,Point Guard,Right,191lb,11726227.0
80,"June 30, 1985","Miami, Florida",2.2,42.2,35.1,72.8,1011,13.3,10.7,4.8,60.0,50.2,"University of California, Los Angeles",43.0,2.0,New York Knicks,2004,6-8,"Westchester in Los Angeles, California",Trevor Ariza,Small Forward and Shooting Guard,Right,215lb,5451466.5
81,"September 9, 1967","Detroit, Michigan",3.3,47.7,42.5,85.6,747,14.5,9.8,1.8,45.0,51.3,University of Iowa,18.0,1.0,Chicago Bulls,1989,6-2,"Brother Rice in Birmingham, Michigan",B.J. Armstrong,Point Guard,Right,175lb,1489090.9
82,"June 16, 1980","San Francisco, California",0.2,35.2,33.3,60.0,108,4.9,2.2,0.6,-0.6,39.5,Pepperdine University,23.0,1.0,Houston Rockets,2001,6-5,"Vallejo in Vallejo, California",Brandon Armstrong,Shooting Guard,Left,188lb,930723.3
84,"November 11, 1984","Peekskill, New York",0.3,50.1,28.6,58.2,292,9.9,3.0,2.6,3.9,50.2,University of Connecticut,12.0,1.0,New Orleans/Oklahoma City Hornets,2006,6-11,"Peekskill in Peekskill, New York",Hilton Armstrong,Center and Power Forward,Right,235lb,1898895.6
86,"March 25, 1988","Dallas, Texas",0.8,44.4,35.2,76.5,503,12.2,6.5,3.5,12.3,47.0,University of Kansas,27.0,1.0,New Orleans Hornets,2008,6-9,"South Oak Cliff in Dallas, Texas",Darrell Arthur,Small Forward and Power Forward,Right,235lb,3322257.5
88,"February 28, 1966","Memphis, Tennessee",2.2,47.9,30.0,75.4,467,12.6,7.1,2.5,22.1,49.4,University of Memphis,39.0,2.0,Philadelphia 76ers,1987,6-6,"Frayser in Memphis, Tennessee",Vincent Askew,Shooting Guard,Right,210lb,976208.3
91,"August 1, 1968","Pasadena, California",1.6,46.9,15.2,72.8,1001,13.7,8.0,3.2,43.8,47.0,"University of Nevada, Las Vegas",9.0,1.0,Atlanta Hawks,1991,6-8,"John Muir in Pasadena, California",Stacey Augmon,Small Forward and Shooting Guard,Left,205lb,1877343.8
92,"November 10, 1987","New Orleans, Louisiana",4.0,41.3,38.1,86.3,807,14.2,9.8,1.9,41.9,49.7,University of Texas at Austin,9.0,1.0,Charlotte Bobcats,2008,6-0,"Hightower in Missouri City, Texas",D.J. Augustin,Point Guard,Right,183lb,3563831.0
93,"February 27, 1984","Midlothian, Illinois",0.1,51.4,-,50.0,27,11.1,1.6,1.2,0.3,51.4,University of Illinois at Urbana-Champaign,41.0,2.0,Orlando Magic,2006,6-10,"Lincoln-Way Central in Mokena, Illinois",James Augustine,Power Forward,Left,235lb,550087.0
94,"August 18, 1969","Gridley, California",1.2,44.6,17.6,67.0,432,13.0,7.6,4.7,9.2,44.8,Arizona State University,48.0,2.0,Utah Jazz,1991,6-10,"Las Plumas in Oroville, California",Isaac Austin,Center,Right,255lb,2514074.0
95,"October 18, 1969","Rocky Mount, North Carolina",0.8,40.3,0.0,68.6,352,8.8,5.6,4.5,0.3,40.3,Seton Hall University,15.0,1.0,Atlanta Hawks,1991,6-9,"Malcolm X Shabazz in Newark, New Jersey",Anthony Avent,Power Forward,Right,235lb,682000.0
96,"August 8, 1979","Augusta, Georgia",1.4,33.0,25.5,71.4,142,7.3,2.7,0.7,-0.9,37.8,Duke University,14.0,1.0,Minnesota Timberwolves,1999,6-2,"Oak Hill Academy in Mouth of Wilson, Virginia",William Avery,Point Guard,Right,197lb,1286200.0
98,"April 29, 1987","Ontario, California",0.4,55.3,40.0,77.6,237,12.4,2.9,2.7,6.3,55.5,Arizona State University,31.0,2.0,Sacramento Kings,2009,6-9,"Etiwanda in Rancho Cucamonga, California",Jeff Ayres,Center and Power Forward,Right,240lb,1225595.0
101,"June 20, 1989","Cincinnati, Ohio",0.6,40.8,40.2,74.7,381,10.1,4.8,2.2,7.2,53.2,"University of Nevada, Reno",16.0,1.0,Minnesota Timberwolves,2010,6-9,"Galena in Reno, Nevada",Luke Babbitt,Small Forward and Power Forward,Left,225lb,1512680.4
102,"November 23, 1968","Kraljevo, Serbia",0.5,37.5,-,65.0,21,10.9,1.8,1.0,-0.1,37.5,Tennessee Technological University,50.0,2.0,Phoenix Suns,1990,7-0,"Kraljevo in Kraljevo, Serbia",Milos Babic,Center and Power Forward,Right,240lb,200000.0
103,"August 30, 1995","Lakeland, Florida",0.9,43.2,37.7,76.1,96,8.8,5.1,2.2,1.1,48.7,Florida State University,40.0,2.0,New Orleans Pelicans,2017,6-7,"Oak Hill Academy in Mouth of Wilson, Virginia",Dwayne Bacon,Shooting Guard,Right,221lb,815615.0
105,"April 23, 1960","Bridgeport, Connecticut",6.0,43.7,24.1,77.9,665,13.0,8.7,2.6,16.6,44.8,Boston College,12.0,1.0,Cleveland Cavaliers,1982,6-0,"Warren Harding in Bridgeport, Connecticut",John Bagley,Point Guard,Right,185lb,448222.22
106,"May 21, 1957","Dublin, Georgia",0.8,48.4,7.7,70.3,595,13.0,8.8,5.0,16.3,48.4,Rutgers University,6.0,1.0,Seattle SuperSonics,1979,6-9,"Xaverian in Westwood, Massachusetts",James Bailey,Power Forward,Right,220lb,450000.0
107,"April 7, 1961","Washington, District of Columbia",1.4,47.3,11.4,81.2,928,14.3,12.8,5.1,45.0,47.3,North Carolina State University,7.0,1.0,Utah Jazz,1983,6-11,"Bladensburg in Bladensburg, Maryland",Thurl Bailey,Power Forward and Small Forward,Right,215lb,726727.25
108,"November 19, 1975","Los Angeles, California",0.6,40.7,20.0,69.2,73,11.0,3.3,1.7,1.0,41.4,"University of California, Los Angeles",45.0,2.0,Los Angeles Lakers,1998,6-6,"Loyola in Los Angeles, California",Toby Bailey,Shooting Guard,Right,213lb,411250.0
109,"December 7, 1990","Brisbane, Australia",0.2,29.6,20.0,84.6,36,5.0,1.2,1.0,-0.1,30.6,University of New Mexico,49.0,2.0,Chicago Bulls,2014,6-9,"Australian Institute of Sport in Canberra, Australia",Cameron Bairstow,Center and Power Forward,Right,250lb,676197.5
111,"November 23, 1971","Lake Wales, Florida",1.9,48.5,21.5,63.8,791,16.3,15.0,7.4,47.0,48.7,University of Hartford,8.0,1.0,Milwaukee Bucks,1993,6-11,"Old Saybrook in Old Saybrook, Connecticut",Vin Baker,Power Forward and Center,Right,232lb,5728876.0
112,"July 14, 1984","Staten Island, New York",0.6,51.0,17.2,54.2,221,14.3,4.0,3.5,7.2,51.8,University of South Carolina,20.0,1.0,New York Knicks,2006,6-8,"Laurinburg Institute in Laurinburg, North Carolina",Renaldo Balkman,Small Forward and Power Forward,Right,208lb,1568459.6
113,"October 27, 1997","Anaheim, California",6.4,38.0,31.5,43.7,99,12.2,10.0,6.2,3.5,46.1,"University of California, Los Angeles",2.0,1.0,Los Angeles Lakers,2017,6-6,"Chino Hills in Chino Hills, California",Lonzo Ball,Point Guard,Right,190lb,6286560.0
114,"January 29, 1955","Los Angeles, California",2.2,47.2,33.8,78.7,802,15.7,12.4,6.1,54.0,47.7,University of Oregon,4.0,1.0,Washington Bullets,1977,6-7,"Garey in Pomona, California",Greg Ballard,Small Forward,Right,215lb,435416.5
115,"May 15, 1959","Philadelphia, Pennsylvania",2.9,53.9,4.3,73.0,468,15.1,11.3,5.8,31.2,53.9,Duke University,28.0,2.0,San Antonio Spurs,1981,6-7,"West Philadelphia in Philadelphia, Pennsylvania",Gene Banks,Small Forward and Power Forward,Right,215lb,245000.0
116,"November 19, 1981","Las Vegas, Nevada",2.1,43.2,32.7,76.8,348,12.2,5.9,1.5,6.6,46.9,"University of Nevada, Las Vegas",13.0,1.0,Memphis Grizzlies,2003,6-2,"Cimarron Memorial in Las Vegas, Nevada",Marcus Banks,Point Guard,Right,200lb,3266940.0
119,"April 5, 1968","Henderson, Kentucky",1.3,32.9,10.0,69.6,33,8.1,2.2,1.8,-0.1,33.5,University of Illinois at Urbana-Champaign,41.0,2.0,Atlanta Hawks,1990,6-5,"Carbondale in Carbondale, Illinois",Steve Bardo,Shooting Guard,Right,190lb,187500.0
122,"February 20, 1963","Leeds, Alabama",3.9,54.1,26.6,73.5,1073,24.6,22.1,11.7,177.2,55.8,Auburn University,5.0,1.0,Philadelphia 76ers,1984,6-6,"Leeds in Leeds, Alabama",Charles Barkley,Small Forward and Power Forward,Right,252lb,2907200.0
123,"February 21, 1978","Queens, New York",1.5,35.6,26.7,90.0,27,9.9,2.9,0.8,0.2,37.8,St. John's University,28.0,1.0,Portland Trail Blazers,2000,6-1,"Maine Central Institute in Pittsfield, Maine",Erick Barkley,Point Guard,Right,177lb,677566.7
124,"May 30, 1992","Ames, Iowa",1.5,44.6,37.4,79.5,540,13.3,13.6,4.9,29.7,50.0,University of North Carolina,7.0,1.0,Golden State Warriors,2012,6-8,"Ames in Ames, Iowa",Harrison Barnes,Power Forward and Small Forward,Right,225lb,9645672.0
125,"March 9, 1980","Santa Clara, California",1.8,43.6,33.5,74.5,929,12.7,8.2,4.6,42.8,51.3,"University of California, Los Angeles",46.0,2.0,Memphis Grizzlies,2002,6-7,"Del Campo in Sacramento, California",Matt Barnes,Small Forward and Power Forward,Right,226lb,1963001.0
128,"April 13, 1967","Boston, Massachusetts",3.3,46.0,41.1,85.8,850,16.4,10.5,1.9,49.6,53.6,Boston College,16.0,1.0,Seattle SuperSonics,1989,5-11,"Xaverian in Westwood, Massachusetts",Dana Barros,Point Guard and Shooting Guard,Right,163lb,2132291.8
129,"December 31, 1971","Hempstead, New York",3.2,46.0,40.5,82.3,912,15.7,9.3,3.0,70.5,57.0,Oregon State University,15.0,1.0,Denver Nuggets,1995,6-6,"De La Salle Catholic in Concord, California",Brent Barry,Small Forward and Shooting Guard,Right,185lb,3564324.0
130,"February 17, 1973","Oakland, California",1.9,41.7,38.1,77.4,60,9.8,2.2,1.1,0.6,53.4,Georgia Institute of Technology,57.0,2.0,Seattle SuperSonics,1996,6-5,"De La Salle Catholic in Concord, California",Drew Barry,Shooting Guard and Point Guard,Right,191lb,206382.5
131,"July 25, 1969","Oakland, California",2.2,43.4,39.2,84.8,821,14.7,5.7,1.8,37.2,52.4,"University of the Pacific, Georgia Institute of Technology",21.0,1.0,Boston Celtics,1992,6-4,"De La Salle Catholic in Concord, California",Jon Barry,Shooting Guard,Right,195lb,1416071.4
132,"January 6, 1991","Baltimore, Maryland",2.4,43.1,34.1,78.8,438,14.4,10.5,3.9,16.4,48.9,University of Memphis,40.0,2.0,Portland Trail Blazers,2012,6-6,"Brewster Academy in Wolfeboro, New Hampshire",Will Barton,Shooting Guard,Right,190lb,2109019.0
134,"April 30, 1985","Baton Rouge, Louisiana",0.8,49.9,20.7,83.2,758,15.3,8.7,4.5,42.8,50.0,Louisiana State University,33.0,2.0,New Orleans Hornets,2005,6-8,"Capitol in Baton Rouge, Louisiana",Brandon Bass,Power Forward and Center,Right,250lb,3234292.5
135,"May 29, 1975","Corsicana, Texas",0.2,61.6,37.5,74.0,105,14.4,2.7,1.7,2.3,62.5,University of Michigan,58.0,2.0,Chicago Bulls,1998,6-9,"H. Grady Spruce in Dallas, Texas",Maceo Baston,Power Forward,Right,215lb,1058182.2
139,"February 11, 1976","Dallas, Texas",0.6,48.8,16.2,69.0,837,12.6,6.1,5.1,36.4,49.0,Texas Tech University,5.0,1.0,Denver Nuggets,1997,6-11,"South Oak Cliff in Dallas, Texas",Tony Battie,Center and Power Forward,Right,230lb,3840277.5
